display_name,claim,category,url,meta_description,features,vorteile,pdf_angebotsblatt
2-Backenmodul,Perfekt bei großem Teilespektrum,adaptionsspannmittel > backenmodule,https://www.hainbuch.com/produkte/adaptionsspannmittel/backenmodule/2-backenmodul/,Das Backenmodul besitzt einen vergrößerten Spannbereich im Vergleich zum Basisspannmittel. Das Modul ist im Vergleich zu Zentrischspannern sehr leicht und handlich.,Backenspannung im HAINBUCH Spannfutter oder Spannstock | extrem schneller Umbau ohne Demontage des Basis-Spannmittels [2 Min.] | Selbstzentrierung auf dem Basis-Spannmittel | vergrößerter Spannbereich des Basisspannmittels | axfixe Spannung ohne Niederzugeffekt | optimale Schmierung und schmutzunempfindlich dank Schmiersystem,"auch rotierend bis 1.500 1/min. einsetzbar | handlich und leicht im Vergleich zu Zentrischspannern | Spannwiederholgenauigkeit von ≤ 0,010 mm bei harten Stufenwendebacken",https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/04_Adaptionsspannmittel/Angebotsblatt-Adaptionsspannmittel-2-Backenmodul.pdf
3-Backenmodul,Immer die passende Lösung,adaptionsspannmittel > backenmodule,https://www.hainbuch.com/produkte/adaptionsspannmittel/backenmodule/3-backenmodul/,Das Backenmodul besitzt einen vergrößerten Spannbereich im Vergleich zum Basisspannmittel. Bearbeitung zwischen den Backen ist hier möglich.,Backenspannung im HAINBUCH Futter oder Spannstock | vergrößerter Spannbereich des Basisspannmittels | Bearbeitung zwischen den Backen möglich [fräsen oder bohren] | axfixe Spannung | optimale Schmierung und schmutzunempfindlicher dank Schmiersystem | neu: komfortablere Montagemechanik,"Bearbeitung zwischen den Backen möglich [fräsen oder bohren] | handlich und leicht im Vergleich zu 3-Backenfuttern | Rundlauf von ≤ 0,020 mm bei ausgedrehten weichen Backen",https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/04_Adaptionsspannmittel/Angebotsblatt-Adaptionsspannmittel-3-Backenmodul.pdf
Magnetmodul,Adaption zur magnetischen Spannung,adaptionsspannmittel,https://www.hainbuch.com/produkte/adaptionsspannmittel/magnetmodul/,Bei unserem Magnetmodul wird planflächige Axialspannung per Neodym-Magnet erzeugt. Generell herrscht hier hohe Planlauf-Wechselgenauigkeit,"planflächige Axialspannung per Neodym-Magnet | hohe Planlauf-Wechselgenauigkeit | hohe Haltekraft von 140 N/cm² | Montage in 30 Sekunden ohne auszurichten | wartungsarm, da schmutzunempfindlich",,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/04_Adaptionsspannmittel/Angebotsblatt-Adaptionsspannmittel-Magnetmodul.pdf
MANDO Adapt T211,Spanndorn-im-Spannmittel,adaptionsspannmittel > mando-adapt,https://www.hainbuch.com/produkte/adaptionsspannmittel/mando-adapt/t211/,Extrem schneller Umbau ohne Demontage des Basis-Spannmittels [1 – 2 Min.] möglich. »Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag,extrem schneller Umbau ohne Demontage des Basis-Spannmittels [1 – 2 Min.] | großer Überbrückungsbereich und Vibrationsdämpfung durch vulkanisierte Spannelemente | Standard-Segmentspannbüchse und Werkstückanschlag zum Selbstabdrehen verfügbar,Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag | günstigere Segmentspannbüchsen und Anschläge gegenüber MANDO T212,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/04_Adaptionsspannmittel/Angebotsblatt-Adaptionsspannmittel-MANDO-Adapt-T211.pdf
MANDO Adapt T212,Spanndorn-im-Spannmittel,adaptionsspannmittel > mando-adapt,https://www.hainbuch.com/produkte/adaptionsspannmittel/mando-adapt/t212/,"Extrem schneller Umbau ohne Demontage des Basis-Spannmittels [1 – 2 Min.] ist möglich. Spannen ohne Zugbolzen, daher ideal für kurze Sacklochbohrungen.",extrem schneller Umbau ohne Demontage des Basis-Spannmittels [1 – 2 Min.] | großer Überbrückungsbereich und Vibrationsdämpfung durch vulkanisierte Spannelemente | Standard-Segmentspannbüchse und Werkstückanschlag zum Selbstabdrehen verfügbar,"Werkstückstabilisierung durch Axialzug gegen Werkstückanschlag | Spannen ohne Zugbolzen, daher ideal für kurze Sacklochbohrungen",https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/04_Adaptionsspannmittel/Angebotsblatt-Adaptionsspannmittel-MANDO-Adapt-T212.pdf
MANDO Adapt T812,Spanndorn-im-Spannmittel,adaptionsspannmittel > mando-adapt,https://www.hainbuch.com/produkte/adaptionsspannmittel/mando-adapt/t812/,"Extrem schneller Umbau ohne Demontage des Basis-Spannmittels ist möglich. Radialspannung, keinen Axzug – ideal beim Abgreifen von der Hauptspindel.",extrem schneller Umbau ohne Demontage des Basis-Spannmittels [1 – 2 Min.] | großer Überbrückungsbereich und Vibrationsdämpfung durch vulkanisierte Spannelemente | Standard-Segmentspannbüchse und Werkstückanschlag zum Selbstabdrehen verfügbar,"Radialspannung, keinen Axzug – ideal beim Abgreifen von der Hauptspindel | Spannen ohne Zugbolzen, daher ideal für kurze Sacklochbohrungen",https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/04_Adaptionsspannmittel/Angebotsblatt-Adaptionsspannmittel-MANDO-Adapt-T812.pdf
Morsekegel Adaption,Adaptionsmöglichkeit über Morsekegel,adaptionsspannmittel,https://www.hainbuch.com/produkte/adaptionsspannmittel/morsekegel-adaption/,Unsere Adaptionsmöglichkeit über Morsekegel ist in 1 Minute ohne auszurichten montiert. Außerdem gibt es eine Selbstzentrierung der Adaption im Futter.,"Montage in 1 Minute ohne auszurichten | Selbstzentrierung der Adaption im Spannfutter ≤ 0,003 mm",,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/04_Adaptionsspannmittel/Angebotsblatt-Adaptionsspannmittel-Morsekegel.pdf
Stirnmitnehmer Adaption,Der treibt´s auf die Spitze,adaptionsspannmittel,https://www.hainbuch.com/produkte/adaptionsspannmittel/stirnmitnehmer-adaption/,"Unser Hartmetall-Stirnmitnehmer, mit gefederte Zentrierspitze hat eine Montagedauer von 1 Minute ohne auszurichten. » Hartmetall-Stirnmitnehmer",gefederte Zentrierspitze | Hartmetall-Stirnmitnehmer | Montage in 1 Minute ohne auszurichten,,https://www.hainbuch.com/fileadmin/Mediendatenbank/Deutsch/Produkte/0_Premium-Angebotsblaetter/04_Adaptionsspannmittel/Angebotsblatt-Adaptionsspannmittel-Stirnmitnehmer.pdf
Ausstattungen für Mehrspindler,"Zwei Systeme, die sich rechnen",,https://www.hainbuch.com/produkte/ausstattungen-fuer-mehrspindler/,Die Rüstzeiten werden durch modulare Systeme gesenkt und die Produktion durch längere Laufzeiten und Wartungsintervalle gesteigert.,Senken der Rüstzeiten durch modulare Systeme | Steigerung der Produktion durch längere Laufzeiten und Wartungsintervalle | deutlich verminderte Riefenbildung am Stangenmaterial | geringere Lagerhaltung durch Mehrfachverwendbarkeit einzelner Module,"einfacher Wechsel der Spannköpfe von vorne | lange Lebensdauer durch einsatzgehärteten Stahl | typische HAINBUCH Merkmale wie parallele Spannung, optimale Kraftübersetzung, hohe Steifigkeit und Haltekraft sowie geringer Verschleiß | RS Vorschubzangen | Mit ihrer regulierbaren Schubkraft haben HAINBUCH Vorschubzangen Maßstäbe gesetzt. Die Aufgaben und Anforderungen sind vielseitig: verschiedene Materialien, hohe Drehzahl, Vorschubgeschwindigkeiten, Prozesssicherheit. | Mit einem speziellen Schlüssel wird die Innenzange in die Außenzange geschraubt. Ein Markierungsring auf der Innenzange gibt in Verbindung mit einer Skala an der Außenzange Anhaltswerte über die Schubkrafthöhe. | regulierbare Schubkraft, dadurch reduzierter Abrieb und Verschleiß | deutlich verminderte Riefenbildung am Stangenmaterial | mehrfach geschlitzte Innenzange schmiegt sich an die Stange, dadurch weniger Verschleiß | Innenzange kann mehrfach nachgestellt werden, hat also eine längere Lebensdauer | Kunststoff-Beschichtung KSB | Keramik-Bestückung OXK | Hartmetall-Bestückung | Retrofit | Gerade ältere Maschinen profitieren vom Umstieg auf ein modernes Spannsystem. Besteht die Möglichkeit die Spannzangenaufnahme in der Spindeltrommel gegen TOPlus Aufnahmen mit sechseckiger Spanngeometrie zu tauschen, kann das Spannsystem durch die vollflächige schmutzunempfindliche Anlage des Spannkopfes seine Vorteile voll ausspielen. Das merken Sie besonders an der Steifigkeit beim Einstechen und den geringeren Taktzeiten, da die Zerspanungsparameter meistens erhöht werden können. | Egal ob Sie Ihre gesamte Maschine generalüberholen oder nur das Spannsystem erneuern. Mit dem Umstieg auf unsere sechseckigen Spannköpfe haben Sie eine echte Alternative zu einer neuen Maschine bei deutlich geringerer Investition. | holen Sie mehr Leistung aus Ihrer Maschine: Umbau von Spannzangen auf sechseckige Spannköpfe | höhere Steifigkeit als bei runden Spannelementen | deutlich schmutzunempfindlicher | Reduzierung der Taktzeit durch Erhöhung der Zerspanungsparamenter möglich | sorgt für Verringerung des Werkzeugverschleißes und somit Reduzierung von Kosten und Maschinenstillstandszeiten | Vorschubkraftprüfgerät | Wenn es um Flexibilität und Rüstfreundlichkeit von Mehrspindlern geht, ist unser RS Vorschubsystem die ideale Lösung. Noch einfacher rüsten Sie mit Hilfe unseres Vorschubkraftprüfgerätes. Der einmal ermittelte Idealzustand der Vorschubkraft kann gemessen und protokolliert werden. So lassen sich die RS Innenzangen vor dem nächsten Einsatz auf genau diese Werte wieder voreinstellen. Schnell, sicher und clever. | elektronische Messung der Vorschubkraft | Protokollierung der Daten | einsetzbar für unterschiedliche Baugrößen",
Nullpunktspannsystem DOCKLOCK AC,Spannmittel-Schnellwechselsystem für stationäre Bearbeitungen,automatisierung > ac-linie,https://www.hainbuch.com/produkte/automatisierung/ac-linie/docklock-ac/,Das HAINBUCH DockLock und DockLock AC Nullpunktspannsystem für den schnellen manuellen und automatisierten stationären Spannmittelwechsel.,"sind durch höchste Einzugs- und Haltekräfte für jeden Einsatzfall geeignet | einfaches Handling, da kein Verkanten der Spannbolzen | Wiederholgenauigkeit ≤ 0,005 mm ohne auszurichten",,
